STIM_END_TIME,PID,BLOCK_ID,STIM_ID,DELAY,MARKER,RES_TIME_STAMP,RES_DURATION,RES,RES_HAND,P_GENDER,VERSION,PNG_NAME,AUTHOR_GENDER,RELATIVE_START_TIME,RELATIVE_RES_TIME
523813392.307653,300,0,15,16131.759967963932,STIMEND,NA,NA,NA ,NA,M,1,N/A,N/A,16131.759967982769,NA
523846743.829355,300,0,2,3317.4572283513094,STIMEND,523842438.421726,25694.59237098694,55 ,L,M,1,2.png,F,49483.28166997433,75177.87404096127
523879472.898047,300,0,13,2689.8451882815384,STIMEND,523877601.762779,28128.864732027054,55 ,L,M,1,13.png,C,82212.35036194324,110341.2150939703
523914555.523313,300,0,14,5043.398731983889,STIMEND,523904853.073864,20297.550550997257,55 ,L,M,1,14.png,C,117294.97562795877,137592.52617895603
523947876.79962,300,0,5,3282.79155721115,STIMEND,523944812.783106,26935.983486056328,55 ,L,M,1,5.png,M,150616.25193494558,177552.2354210019
523982305.54828,300,0,11,4388.140577532469,STIMEND,523974101.902044,21796.353763997555,55 ,L,M,1,11.png,C,185045.00059497356,206841.35435897112
524015892.975402,300,0,4,3552.0809634032667,STIMEND,524008859.974677,22966.999275028706,50 ,R,M,1,4.png,F,218632.42771697044,241599.42699199915
524052503.989848,300,0,8,6580.987823551161,STIMEND,524052299.604843,29795.614995002747,55 ,L,M,1,8.png,M,255243.44216299057,285039.0571579933
524088305.75579,300,0,16,5756.23769019263,STIMEND,NA,NA,NA ,NA,M,1,N/A,N/A,291045.2081049681,NA
524124341.334022,300,0,10,5995.724414673096,STIMEND,524123904.832039,29563.498017013073,55 ,L,M,1,10.png,C,327080.7863369584,356644.2843539715
524159284.600881,300,0,12,4912.026093311991,STIMEND,524158136.215796,28851.614915013313,55 ,L,M,1,12.png,C,362024.05319595337,390875.6681109667
524195820.273713,300,0,6,6492.763895940914,STIMEND,524182811.340524,16991.066811025143,55 ,L,M,1,6.png,M,398559.72602796555,415550.7928389907
524231745.889751,300,0,9,5888.7708738500605,STIMEND,524230894.884881,29148.9951300025,55 ,L,M,1,9.png,M,434485.34206599,463634.33719599247
524268639.801445,300,0,7,6860.949195020866,STIMEND,524254263.561379,15623.759934008121,55 ,L,M,1,7.png,M,471379.2537599802,487003.0136939883
524305377.084808,300,0,0,6706.514400909426,STIMEND,524300838.048819,25460.964011013508,50 ,R,M,1,0.png,F,508116.53712296486,533577.5011339784
524339072.670063,300,0,3,3655.2274280672177,STIMEND,524338615.053675,29542.3836119771,55 ,L,M,1,3.png,F,541812.1223779917,571354.5059899688
524372846.322581,300,0,1,3745.323969755101,STIMEND,524371224.659384,28378.336803019047,55 ,L,M,1,1.png,F,575585.774895966,603964.1116989851
522134594.865573,300,1,15,16131.759967963932,STIMEND,NA,NA,NA ,NA,M,1,N/A,N/A,16131.759967982769,NA
522167946.143701,300,1,2,3317.4572283513094,STIMEND,522153777.189062,15831.045360982418,55 ,L,M,1,17.png,F,49483.038096010685,65314.0834569931
522200674.17623,300,1,13,2689.8451882815384,STIMEND,522198464.175697,27789.999467015266,55 ,L,M,1,28.png,C,82211.07062500715,110001.07009202242
522235757.601574,300,1,14,5043.398731983889,STIMEND,522232406.620008,26649.018433988094,55 ,L,M,1,29.png,C,117294.49596899748,143943.51440298557
522269078.735011,300,1,5,3282.79155721115,STIMEND,NA,NA,NA ,NA,M,1,20.png,M,150615.62940597534,NA
522303507.813522,300,1,11,4388.140577532469,STIMEND,522296812.11619,23304.30266803503,55 ,L,M,1,26.png,C,185044.70791697502,208349.01058501005
522337094.369269,300,1,4,3552.0809634032667,STIMEND,522331477.389193,24383.019923985004,50 ,R,M,1,19.png,F,218631.2636640072,243014.2835879922
522373706.93671,300,1,8,6580.987823551161,STIMEND,522366221.358368,22514.42165797949,55 ,L,M,1,23.png,M,255243.83110499382,277758.2527629733
522409508.295678,300,1,16,5756.23769019263,STIMEND,NA,NA,NA ,NA,M,1,N/A,N/A,291045.1900730133,NA
522445543.545167,300,1,10,5995.724414673096,STIMEND,522440760.761106,25217.215938985348,55 ,L,M,1,25.png,C,327080.4395620227,352297.65550100803
522480486.742672,300,1,12,4912.026093311991,STIMEND,522480429.025524,29942.282851994038,55 ,L,M,1,27.png,C,362023.63706701994,391965.919919014
522517022.182193,300,1,6,6492.763895940914,STIMEND,522508101.28534,21079.103147029877,55 ,L,M,1,21.png,M,398559.076587975,419638.1797350049
522552947.947205,300,1,9,5888.7708738500605,STIMEND,522535603.122413,12655.175207972527,55 ,L,M,1,24.png,M,434484.84160000086,447140.0168079734
522589841.903841,300,1,7,6860.949195020866,STIMEND,522582790.949074,22949.04523295164,50 ,R,M,1,22.png,M,471378.79823601246,494327.8434689641
522626579.582805,300,1,0,6706.514400909426,STIMEND,522625175.51367,28595.930865049362,55 ,L,M,1,15.png,F,508116.4771999717,536712.408065021
522660274.64346,300,1,3,3655.2274280672177,STIMEND,522651599.421358,21324.77789801359,55 ,L,M,1,18.png,F,541811.5378549695,563136.3157529831
522694063.643107,300,1,1,3745.323969755101,STIMEND,522684376.783253,20313.140146017075,55 ,L,M,1,16.png,F,575600.5375019908,595913.6776480079
524524028.168353,300,2,15,16131.759967963932,STIMEND,NA,NA,NA ,NA,M,1,N/A,N/A,16131.759967982769,NA
524557379.936959,300,2,2,3317.4572283513094,STIMEND,524549799.864785,22419.92782598734,55 ,L,M,1,32.png,F,49483.52857398987,71903.4563999772
524590107.864623,300,2,13,2689.8451882815384,STIMEND,524584712.240973,24604.3763499856,55 ,L,M,1,43.png,C,82211.45623797178,106815.83258795738
524625191.469735,300,2,14,5043.398731983889,STIMEND,524616506.35707,21314.887335002422,55 ,L,M,1,44.png,C,117295.06134998798,138609.9486849904
524658513.011256,300,2,5,3282.79155721115,STIMEND,524656392.932957,27879.921701014042,55 ,L,M,1,35.png,M,150616.60287094116,178496.5245719552
524692942.679285,300,2,11,4388.140577532469,STIMEND,524692299.106597,29356.427312016487,55 ,L,M,1,41.png,C,185046.27089995146,214402.69821196795
524726528.01494,300,2,4,3552.0809634032667,STIMEND,524720002.217969,23474.203028976917,55 ,L,M,1,34.png,F,218631.60655498505,242105.80958396196
524763140.85231,300,2,8,6580.987823551161,STIMEND,NA,NA,NA ,NA,M,1,38.png,M,255244.44392496347,NA
524798926.705742,300,2,16,5756.23769019263,STIMEND,524796014.505438,27087.799696028233,55 ,L,M,1,N/A,N/A,291030.29735696316,318118.0970529914
524834962.053992,300,2,10,5995.724414673096,STIMEND,524831485.975052,26523.921060025692,55 ,L,M,1,40.png,C,327065.645606935,353589.5666669607
524869905.808556,300,2,12,4912.026093311991,STIMEND,524869688.351262,29782.54270595312,55 ,L,M,1,42.png,C,362009.4001709819,391791.942876935
524906440.550089,300,2,6,6492.763895940914,STIMEND,524889811.447331,13370.89724200964,55 ,L,M,1,36.png,M,398544.1417039633,411915.0389459729
524942366.833876,300,2,9,5888.7708738500605,STIMEND,524938336.650069,25969.81619298458,55 ,L,M,1,39.png,M,434470.4254909754,460440.24168395996
524979260.491176,300,2,7,6860.949195020866,STIMEND,524977048.722094,27788.230917990208,55 ,L,M,1,37.png,M,471364.0827909708,499152.313708961
525015997.817539,300,2,0,6706.514400909426,STIMEND,525012702.994023,26705.176484048367,55 ,L,M,1,30.png,F,508101.4091539383,534806.5856379867
525049693.714337,300,2,3,3655.2274280672177,STIMEND,525046125.781768,26432.067431032658,55 ,L,M,1,33.png,F,541797.3059519529,568229.3733829856
525083466.312105,300,2,1,3745.323969755101,STIMEND,525082618.093084,29151.78097897768,55 ,L,M,1,31.png,F,575569.9037199616,604721.6846989393
522890892.482705,300,3,15,16131.759967963932,STIMEND,NA,NA,NA ,NA,M,1,N/A,N/A,16131.759967982769,NA
522924243.956691,300,3,2,3317.4572283513094,STIMEND,522921226.32945,26982.372758984566,55 ,L,M,1,47.png,F,49483.233954012394,76465.60671299696
522956971.851343,300,3,13,2689.8451882815384,STIMEND,522951785.013127,24813.16178405285,50 ,R,M,1,58.png,C,82211.1286059618,107024.29039001465
522992055.507777,300,3,14,5043.398731983889,STIMEND,522980648.156768,18592.648991048336,55 ,L,M,1,59.png,C,117294.78503996134,135887.43403100967
523025376.916137,300,3,5,3282.79155721115,STIMEND,523014050.586908,18673.67077100277,55 ,L,M,1,50.png,M,150616.19339996576,169289.86417096853
523059805.617635,300,3,11,4388.140577532469,STIMEND,523058890.074426,29084.456790983677,55 ,L,M,1,56.png,C,185044.89489799738,214129.35168898106
523093392.01026,300,3,4,3552.0809634032667,STIMEND,523085473.479518,22081.469258010387,55 ,L,M,1,49.png,F,218631.28752297163,240712.75678098202
523130004.038674,300,3,8,6580.987823551161,STIMEND,523121561.782454,21557.7437800169,55 ,L,M,1,53.png,M,255243.31593698263,276801.05971699953
523165790.842822,300,3,16,5756.23769019263,STIMEND,NA,NA,NA ,NA,M,1,N/A,N/A,291030.120085001,NA
523201826.075389,300,3,10,5995.724414673096,STIMEND,523198075.175994,26249.10060495138,55 ,L,M,1,55.png,C,327065.3526520133,353314.4532569647
523236769.108939,300,3,12,4912.026093311991,STIMEND,523227049.926095,20280.817156016827,55 ,L,M,1,57.png,C,362008.38620197773,382289.20335799456
523273304.034402,300,3,6,6492.763895940914,STIMEND,523272587.261779,29283.22737699747,55 ,L,M,1,51.png,M,398543.31166499853,427826.539041996
523309230.469937,300,3,9,5888.7708738500605,STIMEND,523307470.290025,28239.820087969303,55 ,L,M,1,54.png,M,434469.7472000122,462709.5672879815
523346123.986586,300,3,7,6860.949195020866,STIMEND,523342911.529225,26787.542639017105,50 ,R,M,1,52.png,M,471363.2638489604,498150.8064879775
523382861.560684,300,3,0,6706.514400909426,STIMEND,523373655.311974,20793.751289963722,55 ,L,M,1,45.png,F,508100.837947011,528894.5892369747
523416556.807211,300,3,3,3655.2274280672177,STIMEND,523399471.24851,12914.441299021244,55 ,L,M,1,48.png,F,541796.0844739676,554710.5257729888
523450345.890361,300,3,1,3745.323969755101,STIMEND,523444261.333145,23915.442784011364,55 ,L,M,1,46.png,F,575585.1676239967,599500.6104080081
955422144.637978,301,0,15,14737.388476007884,STIMEND,NA,NA,NA ,NA,M,2,N/A,N/A,14737.388476014137,NA
955457960.306526,301,0,14,5766.726102690361,STIMEND,NA,NA,NA ,NA,M,2,14.png,C,50553.057024002075,NA
955493022.059019,301,0,6,5012.5445498498775,STIMEND,955483268.547164,20246.488144993782,54 ,L,M,2,6.png,M,85614.80951702595,105861.29766201973
955527852.562857,301,0,5,4793.745042205875,STIMEND,955526308.771896,28456.209038972855,55 ,L,M,2,5.png,M,120445.31335508823,148901.5223940611
955564046.565434,301,0,3,6146.2359574310985,STIMEND,955552203.947791,18157.382357001305,55 ,L,M,2,3.png,F,156639.31593203545,174796.69828903675
955597413.61764,301,0,7,3331.3079586218482,STIMEND,955587974.070699,20560.453058958054,55 ,L,M,2,7.png,M,190006.36813807487,210566.82119703293
955633231.145176,301,0,13,5770.637561288773,STIMEND,955618652.47952,15421.334343910217,50 ,R,M,2,13.png,C,225823.89567410946,241245.23001801968
